Position,Changes,Cluster
11,5,3
8,2,1
3,6,0
8,7,3
7,1,1
6,5,0
1,2,2
6,4,1
2,5,0
4,5,0
11,6,3
3,4,0
7,2,1
3,6,0
9,6,3
10,4,3
10,6,3
3,4,0
5,1,1
3,2,2
16,3,3
6,2,1
2,1,2
4,1,2
1,1,2
6,2,1
3,0,2
11,2,3
5,1,1
5,1,1
4,1,2
2,1,2
5,1,1
7,2,1
3,0,2
9,2,1
7,1,1
3,2,2
3,0,2
