Position,Changes,Cluster
11,5,1
8,2,3
3,6,0
8,7,1
7,1,3
6,5,2
1,2,0
6,4,2
2,5,0
4,5,0
11,6,1
3,4,0
7,2,3
3,6,0
9,6,1
10,4,1
10,6,1
3,4,0
