Position,Changes,Cluster
1,2,2
2,1,2
17,5,3
2,1,2
1,2,2
7,4,1
2,1,2
8,4,1
7,8,1
2,1,2
1,2,2
1,2,2
1,0,2
2,1,2
3,6,0
2,1,2
2,1,2
7,3,1
1,0,2
3,2,0
2,1,2
2,1,2
3,2,0
3,4,0
1,0,2
2,1,2
6,3,1
2,1,2
1,2,2
5,4,1
2,1,2
2,1,2
4,2,0
1,0,2
1,0,2
6,3,1
1,0,2
1,0,2
3,4,0
2,1,2
1,2,2
1,0,2
2,1,2
1,0,2
3,1,2
7,5,1
2,1,2
1,0,2
7,3,1
4,2,0
4,2,0
1,0,2
