@relation MenKiloPlaces
@attribute name string
@attribute Lap1 numeric
@attribute Lap2 numeric
@attribute Lap3 numeric
@attribute Lap4 numeric
@data
FilipDITZEL,5,5,3,3
TakashiSAKAMOTO,10,13,13,13
FrancoisPERVIS,1,1,1,1
JuanPERALTA,4,6,7,7
TjMATHIESON,13,9,9,11
HugoHAAK,2,4,5,6
FrancescoCECI,8,7,6,5
JoachimEILERS,11,8,8,4
TingKWOK,26,26,26,26
QiTANG,19,18,19,20
KamilKUCZYNSKI,18,15,14,15
YudaiNITTA,10,11,12,12
StevenBURKE,22,21,15,10
AlexFRAME,25,25,25,22
LucasLISS,21,24,23,19
AdrianTEKLINSKI,20,19,18,16
PuertaFABIAN,15,13,16,18
MiaoZHANG,12,10,10,11
AlexanderQUINCY,24,23,24,24
HugoHAAK,9,9,8,8
JuanPERALTA,13,12,13,13
FilipDITZEL,16,16,17,17
FrancescoCECI,23,22,21,21
JoachimEILERS,14,14,11,7
MichaelD'ALMEIDA,4,3,1,2
FrancoisPERVIS,2,2,2,4
TeunMULDER,1,1,4,5
StefanNIMKE,7,4,3,1
CarlosCARRASCO,14,14,13,11
DavideCECI,6,9,11,13
KianEMADICOFFIN,2,1,2,2
CameronKARWOWSKI,10,11,9,9
MatiasGATTO,11,10,10,10
WingLEUNG,15,16,16,14
FrancescoCECI,7,5,5,5
MarcusMCCRONE,16,17,18,18
AlexanderQUINCY,13,13,14,15
JonasRICKAERT,19,19,19,19
SergeyPOLYNSKIY,18,15,15,16
FabianPUERTA,4,2,1,1
JuanORELLANA,17,18,17,17
JoseMORENO,5,7,7,6
GennadiyGENUS,9,8,8,8
RobinWAGNER,8,6,6,7
KentaINAKE,12,12,12,12
QuentinLAFARGUE,3,4,3,3
EricENGLER,1,3,4,4
FrancescoCECI,17,16,14,13
LokCHEUNG,22,22,20,19
JoachimEILERS,5,12,10,6
HungWU,18,18,18,17
AdrianTEKLINSKI,9,7,8,9
DavidALONSO,11,14,15,16
DaviROMEO,14,17,19,21
AntonARO,20,21,23,22
PatrickLAWINO,24,24,24,24
MiaoZHANG,3,4,3,5
GiovanniMENDEZ,19,19,22,23
VitaliySHCHEDOV,21,23,21,20
MatthewCRAMPTON,1,1,2,4
EoinMULLEN,13,13,13,15
MatthijsBUCHLI,6,5,7,7
MickaelD'ALMEIDA,7,6,4,2
AndreiKUBEEV,10,8,9,8
StefanNIMKE,4,3,1,1
FilipDITZEL,12,10,11,12
SimonVAN,16,9,5,3
YudaiNITTA,5,11,13,11
AndreyKUBEEV,15,15,16,13
SergioALIAGA,14,17,18,19
WingLEUNG,19,19,19,18
TomasBABEK,17,16,15,15
KrzysztofMAKSEL,9,9,9,10
GennadiiGENUS,18,18,17,16
EdwardDAWKINS,8,7,8,8
JoseMORENO,13,14,14,17
FrancescoCECI,12,12,10,9
KianEMADICOFFIN,7,5,6,4
RobinWAGNER,10,10,11,14
EricENGLER,3,3,3,5
HugoHAAK,4,4,7,7
JoachimEILERS,6,6,5,3
QuentinLAFARGUE,16,13,12,12
TeunMULDER,2,2,4,6
FrancoisPERVIS,1,1,1,1
