SergiESCOBAR ROURE,Lap-2-Place-+2,Lap-3-Place-0,Lap-4-Place-0,Lap-5-Place-+1,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place--1,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
TaylorPHINNEY,Lap-2-Place--2,Lap-3-Place-0,Lap-4-Place-+1,Lap-5-Place-0,Lap-6-Place-+1,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-+2,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
ValeryKAIKOV,Lap-2-Place--1,Lap-3-Place-+1,Lap-4-Place-+1,Lap-5-Place-+1,Lap-6-Place--1,Lap-7-Place-0,Lap-8-Place--2,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-+2,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place--1
AlexeiMARKOV,Lap-2-Place--4,Lap-3-Place-+1,Lap-4-Place-+2,Lap-5-Place-+2,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-+1,Lap-13-Place-0,Lap-14-Place-+1,Lap-15-Place-0,Lap-16-Place-0
ShengYAN Yong,Lap-2-Place--6,Lap-3-Place--4,Lap-4-Place-0,Lap-5-Place--2,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
HosseinNATEGHI,Lap-2-Place--1,Lap-3-Place-0,Lap-4-Place-0,Lap-5-Place-+1,Lap-6-Place--1,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-+1,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
ZhaoyuZENG,Lap-2-Place--3,Lap-3-Place-0,Lap-4-Place-+1,Lap-5-Place-+1,Lap-6-Place--1,Lap-7-Place--1,Lap-8-Place-0,Lap-9-Place-+1,Lap-10-Place-0,Lap-11-Place--1,Lap-12-Place-+1,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
JesseSERGENT,Lap-2-Place-+1,Lap-3-Place-0,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
MattiPAJARI,Lap-2-Place--2,Lap-3-Place-+1,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-+1,Lap-7-Place-+1,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-+1,Lap-11-Place-+1,Lap-12-Place--1,Lap-13-Place-0,Lap-14-Place--1,Lap-15-Place--1,Lap-16-Place-0
RohanDENNIS,Lap-2-Place--2,Lap-3-Place--4,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-+2,Lap-7-Place-+1,Lap-8-Place-+1,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-+1,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
VolodymyrDIUDIA,Lap-2-Place-+4,Lap-3-Place-+2,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place--1,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
FabianSCHAAR,Lap-2-Place-0,Lap-3-Place--1,Lap-4-Place--5,Lap-5-Place--1,Lap-6-Place--2,Lap-7-Place-0,Lap-8-Place-+1,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place--1,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
EvgenyKOVALEV,Lap-2-Place-+2,Lap-3-Place-0,Lap-4-Place--1,Lap-5-Place--2,Lap-6-Place--1,Lap-7-Place--1,Lap-8-Place--1,Lap-9-Place-0,Lap-10-Place--1,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
DavidO'LOUGHLIN,Lap-2-Place-+6,Lap-3-Place--1,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-+1,Lap-8-Place-0,Lap-9-Place-+1,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
AntonioTAULER LLULL,Lap-2-Place-+1,Lap-3-Place-+3,Lap-4-Place-+2,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place--1,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
VitaliySHCHEDOV,Lap-2-Place--1,Lap-3-Place-0,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
AdrianKUREK,Lap-2-Place-0,Lap-3-Place-0,Lap-4-Place-0,Lap-5-Place-+1,Lap-6-Place-+1,Lap-7-Place-+1,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-+1,Lap-11-Place-+1,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-+2,Lap-16-Place-0
ValeryKAYKOV,Lap-2-Place-+1,Lap-3-Place-+5,Lap-4-Place-+3,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place--1,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
ArnoVAN DER ZWET,Lap-2-Place--1,Lap-3-Place--2,Lap-4-Place-0,Lap-5-Place-+2,Lap-6-Place-+1,Lap-7-Place-0,Lap-8-Place--1,Lap-9-Place--1,Lap-10-Place--1,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-+1,Lap-15-Place--1,Lap-16-Place-0
MarcusCHRISTIE,Lap-2-Place-+1,Lap-3-Place-+2,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place--1,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-+1,Lap-15-Place--1,Lap-16-Place-0
VitaliyPOPKOV,Lap-2-Place-+2,Lap-3-Place-+1,Lap-4-Place-0,Lap-5-Place-+1,Lap-6-Place-0,Lap-7-Place-+1,Lap-8-Place-+1,Lap-9-Place-+1,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-+2,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
