AlisonSHANKS,Lap-1-Place-12,Lap-2-Place-9,Lap-3-Place-8,Lap-4-Place-3,Lap-5-Place-3,Lap-6-Place-3,Lap-7-Place-3,Lap-8-Place-2,Lap-9-Place-2,Lap-10-Place-2,Lap-11-Place-2,Lap-12-Place-2
EdytaJASINSKA,Lap-1-Place-15,Lap-2-Place-15,Lap-3-Place-16,Lap-4-Place-17,Lap-5-Place-18,Lap-6-Place-19,Lap-7-Place-19,Lap-8-Place-19,Lap-9-Place-19,Lap-10-Place-19,Lap-11-Place-19,Lap-12-Place-19
MartinaRUZICKOVA,Lap-1-Place-6,Lap-2-Place-5,Lap-3-Place-5,Lap-4-Place-6,Lap-5-Place-7,Lap-6-Place-8,Lap-7-Place-9,Lap-8-Place-10,Lap-9-Place-11,Lap-10-Place-11,Lap-11-Place-11,Lap-12-Place-11
DalilaRODRIGUEZ HERNANDEZ,Lap-1-Place-11,Lap-2-Place-11,Lap-3-Place-10,Lap-4-Place-10,Lap-5-Place-10,Lap-6-Place-9,Lap-7-Place-8,Lap-8-Place-8,Lap-9-Place-8,Lap-10-Place-7,Lap-11-Place-7,Lap-12-Place-7
CuiWANG,Lap-1-Place-10,Lap-2-Place-10,Lap-3-Place-11,Lap-4-Place-11,Lap-5-Place-11,Lap-6-Place-11,Lap-7-Place-11,Lap-8-Place-11,Lap-9-Place-10,Lap-10-Place-9,Lap-11-Place-9,Lap-12-Place-9
AmyPIETERS,Lap-1-Place-13,Lap-2-Place-13,Lap-3-Place-13,Lap-4-Place-13,Lap-5-Place-13,Lap-6-Place-13,Lap-7-Place-13,Lap-8-Place-13,Lap-9-Place-13,Lap-10-Place-13,Lap-11-Place-13,Lap-12-Place-13
ChanpengNONTASIN,Lap-1-Place-5,Lap-2-Place-7,Lap-3-Place-9,Lap-4-Place-9,Lap-5-Place-8,Lap-6-Place-7,Lap-7-Place-7,Lap-8-Place-6,Lap-9-Place-6,Lap-10-Place-6,Lap-11-Place-6,Lap-12-Place-6
KimberlyGEIST,Lap-1-Place-8,Lap-2-Place-9,Lap-3-Place-8,Lap-4-Place-8,Lap-5-Place-9,Lap-6-Place-10,Lap-7-Place-10,Lap-8-Place-9,Lap-9-Place-9,Lap-10-Place-10,Lap-11-Place-10,Lap-12-Place-10
EdytaJASINSKA,Lap-1-Place-12,Lap-2-Place-12,Lap-3-Place-12,Lap-4-Place-12,Lap-5-Place-12,Lap-6-Place-12,Lap-7-Place-12,Lap-8-Place-12,Lap-9-Place-12,Lap-10-Place-12,Lap-11-Place-12,Lap-12-Place-12
GemaPASCUAL TORRECILLA,Lap-1-Place-3,Lap-2-Place-4,Lap-3-Place-4,Lap-4-Place-4,Lap-5-Place-5,Lap-6-Place-5,Lap-7-Place-5,Lap-8-Place-5,Lap-9-Place-5,Lap-10-Place-5,Lap-11-Place-5,Lap-12-Place-4
ElenaCHALYKH,Lap-1-Place-4,Lap-2-Place-2,Lap-3-Place-2,Lap-4-Place-2,Lap-5-Place-2,Lap-6-Place-1,Lap-7-Place-1,Lap-8-Place-1,Lap-9-Place-1,Lap-10-Place-1,Lap-11-Place-1,Lap-12-Place-1
