SofiaARREOLA NAVARRO,-1,0,0,-1,0,-1,-2,0,0,1,0
SarahKENT,-1,0,0,1,0,0,0,0,0,0,0
OlatzFERRAN ZUBILLAGA,1,0,-1,0,1,0,0,-1,-1,0,0
FanJIANG,-1,0,0,0,0,0,-1,0,0,-1,-1
ReumNA Ah,-2,1,3,1,0,0,1,1,0,0,0
CuiWANG,-1,0,1,0,-1,0,-1,0,1,0,0
LisaBRENNAUER,2,2,-2,1,-1,0,0,0,0,-1,0
FionaDUTRIAUX,-2,-1,0,0,0,0,0,0,0,0,1
SvitlanaGALYUK,0,5,0,-1,-1,-1,0,0,-1,0,-1
PascaleSCHNIDER,0,0,-1,-1,0,0,0,-1,0,-1,0
VictoriaKONDEL,0,-3,0,0,-1,0,0,0,1,0,0
DalilaRODRIGUEZ HERNANDEZ,0,-2,-1,0,2,1,0,-1,0,0,1
YiuWONG Wan,0,0,0,0,0,0,1,1,0,0,0
AlisonSHANKS,3,0,1,0,1,1,0,0,0,0,0
VeraKOEDOODER,2,-2,0,0,1,1,2,1,0,2,0
VilijaSEREIKAITE,0,0,0,0,0,-1,0,0,0,0,0
TaraWHITTEN,0,0,0,0,-1,0,0,0,0,0,0
