JaimeNIELSEN,0,1,4,0,1,1,1,2,2,1,0
NontasinCHANPENG,0,0,0,0,0,0,0,0,0,0,0
ReumNA Ah,3,1,2,2,0,0,-1,0,0,0,-1
VaidaPIKAUSKAITE,-4,-5,-3,-1,-2,0,0,-1,0,0,1
DeboraGALVEZ LOPEZ,-1,-1,0,-1,-1,0,0,1,0,0,-1
FanJIANG,-3,2,2,1,0,1,-1,1,2,0,0
CharlotteBECKER,-3,-1,-1,0,-1,-2,-1,0,0,-1,0
EllenVAN DIJK,1,2,1,2,0,0,0,0,0,0,0
VerenaJOOS,-7,-5,-3,0,2,2,0,0,0,1,1
JamieWONG Wan Yiu,0,0,0,0,0,0,0,0,0,0,0
PascaleSCHNIDER,1,1,-2,1,1,0,1,0,1,1,1
SarahKENT,5,3,1,1,1,0,0,-1,-3,-1,0
ElissavetCHANTZI,-5,-1,1,1,1,-1,1,0,0,0,0
DalilaRODRIGUEZ HERNANDEZ,-4,2,0,1,-1,0,-1,-3,-1,0,-1
VeraKOEDOODER,0,1,-1,1,1,0,2,1,-1,0,1
SarahHAMMER,5,0,4,1,1,0,0,0,0,0,0
VilijaSEREIKAITE,0,0,0,0,-1,-1,-1,0,0,0,0
LesyaKALITOVSKA,6,0,-2,-1,1,0,0,0,0,0,0
WendyHOUVENAGHEL,3,3,0,-1,-1,0,1,0,1,0,0
AusrineTREBAITE,0,-3,-3,-6,-2,-1,-1,0,0,0,0
AlisonSHANKS,3,0,2,0,1,1,0,0,-1,0,0
TaraWHITTEN,0,0,-2,-1,-1,0,0,0,0,-1,-1
