Position,Changes,Cluster
1,2,0
2,1,0
17,5,2
2,1,0
1,2,0
7,4,1
2,1,0
8,4,1
7,8,1
2,1,0
1,2,0
1,2,0
1,0,0
2,1,0
3,6,3
2,1,0
2,1,0
7,3,1
1,0,0
3,2,3
2,1,0
2,1,0
3,2,3
3,4,3
1,0,0
2,1,0
6,3,1
2,1,0
1,2,0
5,4,1
2,1,0
2,1,0
4,2,3
1,0,0
1,0,0
6,3,1
1,0,0
1,0,0
3,4,3
2,1,0
1,2,0
1,0,0
2,1,0
1,0,0
3,1,0
7,5,1
2,1,0
