Position,Changes,Cluster
1,2,3
2,1,3
17,5,2
2,1,3
1,2,3
7,4,1
2,1,3
8,4,1
7,8,1
2,1,3
1,2,3
1,2,3
1,0,0
2,1,3
3,6,1
2,1,3
2,1,3
7,3,1
1,0,0
3,2,3
2,1,3
2,1,3
3,2,3
3,4,3
1,0,0
2,1,3
6,3,1
2,1,3
1,2,3
5,4,1
2,1,3
2,1,3
4,2,3
1,0,0
1,0,0
6,3,1
1,0,0
1,0,0
3,4,3
2,1,3
1,2,3
1,0,0
2,1,3
1,0,0
3,1,3
7,5,1
2,1,3
1,0,0
7,3,1
4,2,3
4,2,3
1,0,0
2,1,3
1,0,0
2,1,3
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,1,3
1,0,0
2,1,3
2,1,3
1,0,0
2,1,3
2,1,3
2,1,3
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,1,3
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
2,1,3
1,0,0
1,0,0
1,0,0
2,1,3
1,0,0
2,1,3
1,0,0
2,1,3
1,2,3
1,0,0
2,1,3
2,1,3
2,1,3
2,1,3
1,0,0
2,2,3
2,1,3
1,0,0
1,0,0
