lap,VEN,IRI,GRE,MAS,CZE,UKR,MTT,MSP,CHN,COL,RUS,AUS,YSD,NED,CAN,JPN,GER,POL,GBR,FRA
1,4,14,12,20,10,19,17,15,6,18,2,16,12,8,11,7,5,1,9,3
2,7,15,13,20,16,19,17,10,4,18,2,11,8,5,14,6,3,11,9,1
3,11,17,14,20,15,19,16,12,4,18,2,10,7,9,13,5,3,8,6,1
4,9,17,16,19,13,20,11,15,3,18,2,7,10,14,12,5,4,8,6,1
5,14,16,17,20,9,19,11,13,3,18,2,5,10,15,12,4,7,8,6,1
6,15,16,19,20,8,18,12,10,3,17,2,5,9,14,11,4,13,7,6,1
