lap,LOK,LTU,UKR,COL
1,2,1,2,1
2,2,1,2,1
3,2,1,2,1
4,2,1,2,1
5,2,1,2,1
6,2,1,2,1
7,2,1,2,1
8,2,1,2,1
9,2,1,2,1
10,2,1,1,2
11,2,1,1,2
12,2,1,1,2
13,2,1,1,2
14,2,1,1,2
15,2,1,1,2
16,2,1,1,2
