lap,IRL,GDZ,FIN,EUS,CAT,ECU,AUT,UKR,JPN,TRI,KGZ,USA,NAV,BLR,FRA,FGN,DEN,GER,NED,CZE,RUS,RSA,ESP,COF,GBR,USC,POL
1,24,11,19,22,9,21,7,3,14,20,27,15,16,25,4,26,23,2,5,13,17,18,12,1,10,8,5
2,23,10,20,22,11,21,9,3,13,19,27,16,17,26,4,25,24,2,5,14,12,18,15,1,8,7,6
3,24,10,19,22,16,21,9,3,14,20,27,12,18,26,5,25,23,2,8,13,11,16,15,1,4,7,6
4,23,11,19,21,18,25,9,3,16,20,27,10,17,26,7,24,22,2,8,13,12,15,14,1,4,5,6
5,24,12,18,23,20,26,10,2,16,19,27,9,17,25,6,22,21,5,8,13,11,15,14,1,3,4,7
6,23,10,18,24,21,27,11,3,16,19,26,8,17,25,4,22,20,9,7,14,12,15,13,2,5,1,6
7,22,10,18,24,23,27,11,4,15,21,26,2,17,25,3,20,19,9,8,14,13,16,12,5,7,1,6
8,20,10,18,24,25,27,11,5,16,22,26,1,17,23,3,21,19,9,6,13,14,15,12,7,8,2,4
