lap,AUS ,LTU ,FRA ,TPE ,NED ,JPN ,HKG ,ESP ,USA ,UKR ,MTT ,GER ,RUS ,COL ,GBR ,VEN ,CHN 
1,1,15,3,17,5,12,14,11,16,7,4,6,9,18,2,10,8
2,1,10,5,16,7,14,17,13,15,2,9,4,6,18,3,11,8
